##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	A10_S73_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	118917010
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.2016880932341	37.0	37.0	37.0	37.0	37.0
2	36.087500156621836	37.0	37.0	37.0	37.0	37.0
3	36.30933630100521	37.0	37.0	37.0	37.0	37.0
4	36.31816747662929	37.0	37.0	37.0	37.0	37.0
5	36.3841782853437	37.0	37.0	37.0	37.0	37.0
6	36.3341673407362	37.0	37.0	37.0	37.0	37.0
7	36.289948132735596	37.0	37.0	37.0	37.0	37.0
8	36.38644627879561	37.0	37.0	37.0	37.0	37.0
9	36.36225456728184	37.0	37.0	37.0	37.0	37.0
10-14	36.38247529432501	37.0	37.0	37.0	37.0	37.0
15-19	36.38235795535054	37.0	37.0	37.0	37.0	37.0
20-24	36.37239776378501	37.0	37.0	37.0	37.0	37.0
25-29	36.33834082777561	37.0	37.0	37.0	37.0	37.0
30-34	36.308604657987956	37.0	37.0	37.0	37.0	37.0
35-39	36.27615335733463	37.0	37.0	37.0	37.0	37.0
40-44	36.27416135367849	37.0	37.0	37.0	37.0	37.0
45-49	36.25400724192019	37.0	37.0	37.0	37.0	37.0
50-54	36.22008488554978	37.0	37.0	37.0	37.0	37.0
55-59	36.19121328957754	37.0	37.0	37.0	37.0	37.0
60-64	36.15249784798278	37.0	37.0	37.0	37.0	37.0
65-69	36.16522390405654	37.0	37.0	37.0	37.0	37.0
70-74	36.13625083321597	37.0	37.0	37.0	37.0	37.0
75-79	36.1292974009901	37.0	37.0	37.0	37.0	37.0
80-84	36.06315134369579	37.0	37.0	37.0	37.0	37.0
85-89	36.047572104724274	37.0	37.0	37.0	37.0	37.0
90-94	36.05666707285659	37.0	37.0	37.0	37.0	37.0
95-99	36.0147224697979	37.0	37.0	37.0	37.0	37.0
100-104	35.99139022050674	37.0	37.0	37.0	37.0	37.0
105-109	35.91174102297191	37.0	37.0	37.0	37.0	37.0
110-114	35.91040651504464	37.0	37.0	37.0	37.0	37.0
115-119	35.897367493479805	37.0	37.0	37.0	37.0	37.0
120-124	35.86240239916833	37.0	37.0	37.0	37.0	37.0
125-129	35.797392417304145	37.0	37.0	37.0	37.0	37.0
130-134	35.74016247184081	37.0	37.0	37.0	37.0	37.0
135-139	35.73638288491613	37.0	37.0	37.0	37.0	37.0
140-144	35.681128934129084	37.0	37.0	37.0	37.0	37.0
145-149	35.59408631532071	37.0	37.0	37.0	37.0	37.0
150-151	35.342401716405156	37.0	37.0	37.0	31.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.10294321917876204
1101	2	-0.06464070557744606
1101	3	-0.004969575207525168
1101	4	-0.044729771428457354
1101	5	-0.11988279224798504
1101	6	0.02003288094579858
1101	7	-0.06184145973746524
1101	8	-0.08542114907915987
1101	9	-0.0531846827750968
1101	10-14	-0.055022966983102606
1101	15-19	-0.06269162258555383
1101	20-24	-0.10546164811982095
1101	25-29	-0.16315966166931162
1101	30-34	-0.1207616999689094
1101	35-39	-0.11952451004853515
1101	40-44	-0.07096759574704947
1101	45-49	-0.05963308507437404
1101	50-54	-0.03268026282954395
1101	55-59	-0.10341447874955634
1101	60-64	-0.07177618798904462
1101	65-69	-0.06691424573853766
1101	70-74	-0.061503901126222615
1101	75-79	-0.1674712985107476
1101	80-84	-0.09723195325840095
1101	85-89	-0.18792057448820998
1101	90-94	-0.14645069987530235
1101	95-99	-0.2663969190794475
1101	100-104	-0.18218034120315707
1101	105-109	-0.10615591220440024
1101	110-114	-0.19506682577782186
1101	115-119	-0.1861820400746268
1101	120-124	-0.24799793775262913
1101	125-129	-0.23906505711733672
1101	130-134	-0.12816694988605093
1101	135-139	-0.23889418373838822
1101	140-144	-0.14218063107034595
1101	145-149	-0.1872885150294934
1101	150-151	0.08995237979309678
1102	1	0.024711989983863702
1102	2	-0.0221314576638747
1102	3	-0.03653109118723563
1102	4	0.0186257580747764
1102	5	0.02212958174529689
1102	6	0.031169011648934486
1102	7	0.015228251172800356
1102	8	-0.15808853281800594
1102	9	-0.15443717115338984
1102	10-14	-0.08094083287473808
1102	15-19	-0.06296077867539651
1102	20-24	-0.07618139783534872
1102	25-29	0.01091498870041363
1102	30-34	-0.021569445935291753
1102	35-39	-0.031572690461288744
1102	40-44	-0.11088203614453107
1102	45-49	-0.1286844786778687
1102	50-54	-0.023640721529964992
1102	55-59	-0.09549644821951375
1102	60-64	-0.11496258997969733
1102	65-69	-0.07032643396009775
1102	70-74	-0.10132845640443833
1102	75-79	-0.07038183690570321
1102	80-84	-0.09743193426872665
1102	85-89	-0.16807409490037628
1102	90-94	-0.06492068081593771
1102	95-99	-0.19291486732090135
1102	100-104	-0.16744387056630217
1102	105-109	-0.11747683912759044
1102	110-114	-0.0786588879188912
1102	115-119	-0.0657504247796652
1102	120-124	-0.1208286622164465
1102	125-129	-0.08101523073720074
1102	130-134	-0.08733502596852105
1102	135-139	-0.0937104291807529
1102	140-144	-0.1174296605819265
1102	145-149	-0.02200079924643461
1102	150-151	0.08103028772025311
1103	1	-0.034997408140768016
1103	2	-0.18142656574327276
1103	3	0.003922572262553103
1103	4	-0.036741491873755194
1103	5	0.024064084739052305
1103	6	-0.05654002357691468
1103	7	-0.10617729193404557
1103	8	-0.027769629948252827
1103	9	-0.044971691153591564
1103	10-14	-0.03359708674479123
1103	15-19	0.023308066527498283
