"CELL"	"TREAT"	"TIME"	"CONTR"	"plateID"	"sample"	"RG.ratio"
"1"	"HEK293.tfLC3"	"DMSO"	"0"	"1"	"aaa-acwa"	"A01_S1"	0.770083102493075
"2"	"HEK293.tfLC3"	"DMSO"	"0"	"1"	"aaa-acwc"	"A02_S9"	0.776566757493188
"3"	"HEK293.tfLC3"	"DMSO"	"30"	"1"	"aa5-acwb"	"A03_S17"	0.817919075144509
"4"	"HEK293.tfLC3"	"AZD8055"	"1"	"0"	"abb-acwa"	"A04_S25"	0.805970149253731
"5"	"HEK293.tfLC3"	"AZD8055"	"1"	"0"	"abb-acwc"	"A05_S33"	0.820058997050147
"6"	"HEK293.tfLC3"	"AZD8055"	"15"	"0"	"abp-acwb"	"A06_S41"	1.6096256684492
"7"	"HEK293.tfLC3"	"DMSO"	"0"	"1"	"aaa-acwb"	"A07_S49"	0.787709497206704
"8"	"HEK293.tfLC3"	"AZD8055"	"15"	"0"	"abp-acwa"	"A08_S57"	1.55958549222798
"9"	"HEK293.tfLC3"	"DMSO"	"30"	"1"	"aa5-acwc"	"A09_S65"	0.812316715542522
"10"	"HEK293.tfLC3"	"AZD8055"	"1"	"0"	"abb-acwb"	"A10_S73"	0.848484848484848
"11"	"HEK293.tfLC3"	"DMSO"	"30"	"1"	"aa5-acwa"	"A11_S81"	0.817910447761194
"12"	"HEK293.tfLC3"	"AZD8055"	"15"	"0"	"abp-acwc"	"A12_S89"	1.53886010362694
"13"	"HEK293.tfLC3"	"AZD8055"	"30"	"0"	"ab5-acwa"	"B01_S2"	2.29285714285714
"14"	"HEK293.tfLC3"	"AZD8055"	"30"	"0"	"ab5-acwc"	"B02_S10"	2.24324324324324
"15"	"HEK293.tfLC3"	"DMEM"	"0"	"1"	"aea-ac1b"	"B03_S18"	0.51288056206089
"16"	"HEK293.tfLC3"	"DMEM"	"30"	"1"	"ae5-ac1a"	"B04_S26"	0.486238532110092
"17"	"HEK293.tfLC3"	"DMEM"	"30"	"1"	"ae5-ac1c"	"B05_S34"	0.472160356347439
"18"	"HEK293.tfLC3"	"EBSS"	"1"	"0"	"adb-ac1b"	"B06_S42"	0.510392609699769
"19"	"HEK293.tfLC3"	"AZD8055"	"30"	"0"	"ab5-acwb"	"B07_S50"	2.21379310344828
"20"	"HEK293.tfLC3"	"DMEM"	"0"	"1"	"aea-ac1a"	"B08_S58"	0.501133786848073
"21"	"HEK293.tfLC3"	"DMEM"	"0"	"1"	"aea-ac1c"	"B09_S66"	0.511627906976744
"22"	"HEK293.tfLC3"	"DMEM"	"30"	"1"	"ae5-ac1b"	"B10_S74"	0.48314606741573
"23"	"HEK293.tfLC3"	"EBSS"	"1"	"0"	"adb-ac1a"	"B11_S82"	0.494577006507592
"24"	"HEK293.tfLC3"	"EBSS"	"1"	"0"	"adb-ac1c"	"B12_S90"	0.530660377358491
"25"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1a"	"C01_S3"	1.02040816326531
"26"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1c"	"C02_S11"	1.09189189189189
"27"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1b"	"C03_S19"	1.29496402877698
"28"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adca"	"C04_S27"	0.884497313891021
"29"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adcc"	"C05_S35"	0.87681713848508
"30"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adcb"	"C06_S43"	0.874244712990937
"31"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1b"	"C07_S51"	1.05208333333333
"32"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1a"	"C08_S59"	1.36567164179104
"33"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1c"	"C09_S67"	1.32846715328467
"34"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adcb"	"C10_S75"	0.875757575757576
"35"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adca"	"C11_S83"	0.915327322618581
"36"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adcc"	"C12_S91"	0.880122558406741
"37"	"HeLa.tfLC3"	"AZD8055"	"1"	"0"	"cbb-adca"	"D01_S4"	0.899610894941634
"38"	"HeLa.tfLC3"	"AZD8055"	"1"	"0"	"cbb-adcc"	"D02_S12"	0.873480243161094
"39"	"HeLa.tfLC3"	"AZD8055"	"15"	"0"	"cbp-adcb"	"D03_S20"	1.17562557924004
"40"	"HeLa.tfLC3"	"AZD8055"	"30"	"0"	"cb5-adca"	"D04_S28"	1.16988586479368
"41"	"HeLa.tfLC3"	"AZD8055"	"30"	"0"	"cb5-adcc"	"D05_S36"	1.22186346863469
"42"	"HeLa.tfLC3"	"DMEM"	"0"	"1"	"cea-adfb"	"D06_S44"	0.979447200566974
